T [r = 1.1 + s = 0.25],P(t)(N=100)[r = 1.1 + s = 0.25],P(t) (N=1000)[r = 1.1 + s = 0.25],P(t) (N=10000)[r = 1.1 + s = 0.25],T [r = -1.0 + s = -0.5],P(t)(N=100)[r = -1.0 + s = -0.5],P(t) (N=1000)[r = -1.0 + s = -0.5],P(t) (N=10000)[r = -1.0 + s = -0.5],T [r = -1.0 + s = -1.0],P(t)(N=100) [r = -1.0 + s = -1.0],P(t) (N=1000) [r = -1.0 + s = -1.0],P(t) (N=10000) [r = -1.0 + s = -1.0]
531.9400000000001,0.004998574499486865,0.8423379586428933,0.9952176685717351,26.21,0.005284205768780848,0.1905826615132815,0.5920287918007383,14.16,5.006561799318988e-13,5.020742663292158e-13,5.02088355758321e-13
536.61,0.004772266753073589,0.8410942789633529,0.9951781151756469,26.32,0.005169200283291884,0.1892613746629227,0.5907277600923891,14.2,4.621601700665258e-13,4.634729252337365e-13,4.634859681600754e-13
541.33,0.004553945407401521,0.8398391494863174,0.9951381398929856,26.43,0.005056697777866771,0.1879492481366304,0.5894295875076663,14.25,4.18175592222908e-13,4.193676030194529e-13,4.193794463064467e-13
546.09,0.004343887630700258,0.838575280163803,0.995097827462978,26.54,0.004946643777632653,0.1866462184269712,0.5881342677634117,14.29,3.86021606376052e-13,3.871250584913239e-13,3.871360219143231e-13
550.89,0.004141875095384756,0.8373027161143778,0.995057177926728,26.65,0.004838984993308128,0.1853522224668005,0.5868417945902751,14.33,3.563399762215621e-13,3.573614409717749e-13,3.573715898182869e-13
555.74,0.003947298599077139,0.8360188576136697,0.995016106644369,26.76,0.004733669295400018,0.1840671976262114,0.5855521617326834,14.38,3.224264881322387e-13,3.23353971186843e-13,3.233631862871958e-13
560.62,0.003760743409481724,0.8347290445910222,0.9949747830238317,26.87,0.004630645688961754,0.1827910817095022,0.5842653629488109,14.42,2.976347572687866e-13,2.984933125683088e-13,2.985018428425562e-13
565.5500000000001,0.003581228174593189,0.8334280368760847,0.9949330377482036,26.99,0.004520811832285601,0.1814090432804566,0.5828648073886663,14.46,2.747492901331274e-13,2.755440340533798e-13,2.755519303340385e-13
570.52,0.003408928839058982,0.8321185258033015,0.9948909555413568,27.1,0.004422420856928823,0.1801513560306334,0.5815839142858377,14.51,2.486009278941224e-13,2.493225273709358e-13,2.493296969289265e-13
575.54,0.003243309881417871,0.8307979292667772,0.9948484517791489,27.21,0.004326171263339479,0.1789023881764354,0.5803058360504021,14.55,2.294857263718833e-13,2.3015368210787e-13,2.301603186905752e-13
