gamma,Re(eigenvalue 1),Re(eigenvalue 2),Im(eigenvalue 1),Im(eigenvalue 2)
1.0329795918367346,-1.044581779707351,-0.9883978121293828,-0.07926601564863701,-0.1237926449853669
1.0390204081632655,-1.0539446179906768,-0.9850757901725884,-0.07463915309671071,-0.12841950753729314
1.0450612244897959,-1.0624533720466371,-0.9826078524431583,-0.07080814980943725,-0.13225051082456651
1.0511020408163265,-1.0704246136763935,-0.9806774271399332,-0.06750038329597546,-0.1355582773380286
1.0571428571428572,-1.078021908376385,-0.9791209487664723,-0.06457260203217594,-0.13848605860182805
1.0631836734693878,-1.0853425452278165,-0.9778411282415711,-0.06193813564992816,-0.1411205249840758
1.0692244897959184,-1.092449797718562,-0.9767746920773559,-0.05953962876936696,-0.143519031864637
1.075265306122449,-1.099387452577528,-0.9758778535449211,-0.05733667775725213,-0.14572198287675175
1.0813061224489795,-1.106187230251346,-0.9751188921976333,-0.05529947401993386,-0.14775918661407006
1.0873469387755104,-1.1128729321016066,-0.9744740066739035,-0.053405227848630166,-0.1496534327853738
1.0933877551020408,-1.119462921449571,-0.97392483365247,-0.051636015005650085,-0.1514226456283544
1.0994285714285714,-1.1259716892734872,-0.973456882155084,-0.049977408977031845,-0.15308125165697217
1.105469387755102,-1.1324108857929884,-0.9730585019621141,-0.0484175740209192,-0.15464108661308495
1.1115102040816327,-1.1387900247666574,-0.9727201793149756,-0.046946642014692085,-0.15611201861931212
1.1175510204081633,-1.1451169789349445,-0.9724340414732191,-0.04555627132082325,-0.15750238931318095
1.1235918367346938,-1.1513983375439458,-0.9721934991907482,-0.04423932645326413,-0.15881933418074
1.1296326530612246,-1.1576396700860843,-0.9719929829751401,-0.04298964029475408,-0.16006902033925008
1.135673469387755,-1.16384572463148,-0.9718277447562758,-0.041801834172827054,-0.161256826461177
1.1417142857142857,-1.1700205795157996,-0.9716937061984858,-0.04067117939574954,-0.16238748123825453
1.1477551020408163,-1.1761677611085934,-0.9715873409322229,-0.03959348908332863,-0.16346517155067553
1.153795918367347,-1.1822903364815611,-0.9715055818857856,-0.038565032521887685,-0.16449362811211643
1.1598367346938774,-1.188390987210883,-0.9714457474829945,-0.03758246652816841,-0.1654761941058357
1.1658775510204082,-1.1944720687984884,-0.9714054822219194,-0.03664277983839176,-0.1664158807956122
1.1719183673469387,-1.2005356589903522,-0.9713827083565862,-0.03574324759899428,-0.16731541303500963
1.1779591836734695,-1.2065835974225831,-0.9713755862508864,-0.03488139378263844,-0.1681772668513657
1.184,-1.212617518421574,-0.971382481578426,-0.034054959887944956,-0.1690037007460592
1.1900408163265306,-1.2186388783469195,-0.971401937979611,-0.033261878669917255,-0.16979678196408698
1.1960816326530612,-1.2246489785447925,-0.9714326541082683,-0.03250025193403715,-0.17055840869996708
1.2021224489795919,-1.2306489847410838,-0.9714734642385083,-0.031768331640153386,-0.17129032899385077
1.2081632653061225,-1.2366399435245534,-0.9715233217815689,-0.03106450372291958,-0.17199415691108466
1.2142040816326531,-1.2426227964343375,-0.9715812851983154,-0.030387274157884992,-0.17267138647611913
1.2202448979591836,-1.2485983920619754,-0.9716465058972088,-0.029735256896421043,-0.17332340373758304
1.2262857142857142,-1.2545674964975797,-0.9717182177881343,-0.029107163365673358,-0.1739514972683308
1.2323265306122448,-1.2605308023869106,-0.9717957282253344,-0.028501793286861185,-0.17455686734714293
1.2383673469387755,-1.266488936816719,-0.9718784101220572,-0.02791802661030192,-0.17514063402370217
1.2444081632653061,-1.2724424682065858,-0.9719656950587201,-0.027354816401344163,-0.17570384423265994
1.2504489795918365,-1.2783919123542695,-0.9720570672375664,-0.026811182540032324,-0.17624747809397157
1.2564897959183674,-1.2843377377565048,-0.9721520581618635,-0.02628620612039573,-0.17677245451360823
1.2625306122448978,-1.2902803703069388,-0.9722502419379595,-0.025779024453942572,-0.17727963618006137
1.2685714285714287,-1.2962201974564505,-0.972351231114978,-0.025288826597170893,-0.17776983403683322
